Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.71607208251953,72.77659819422657,71.46681225027338,71.72101896406637,135480400
2020-01-03,72.00912475585938,72.7717522953066,71.78396939069293,71.94133580542943,146322800
2020-01-06,72.5829086303711,72.62164622763687,70.87607527260708,71.12786596061405,118387200
2020-01-07,72.24153137207031,72.84920835752393,72.021215493932,72.59257829912976,108872000
2020-01-08,73.40363311767578,73.70626361557562,71.94374389134458,71.94374389134458,132079200
2020-01-09,74.96279907226562,75.15647966923257,74.13238261481911,74.3841659131879,170108400
2020-01-10,75.13227081298828,75.69880172853615,74.62869680726308,75.19764374317383,140644800
2020-01-13,76.7374038696289,76.76403919399131,75.33077798259308,75.44941415548828,121532000
2020-01-14,75.70121002197266,76.88510420958616,75.57774178905865,76.6744745414686,161954400
2020-01-15,75.3768310546875,76.38398688726286,74.94346183369414,75.50030674169186,121923600
2020-01-16,76.32099914550781,76.43237250443956,75.5583716587375,75.92152830847965,108829200
2020-01-17,77.16596221923828,77.16837823985516,76.26290986480943,76.57037988918707,137816400
2020-01-21,76.64299774169922,77.23614913553814,76.5049964495613,76.79310129941813,110843200
2020-01-22,76.91658020019531,77.47099402402007,76.82215592624772,77.1296258918447,101832400
2020-01-23,77.28699493408203,77.3668861399878,76.42025699227077,76.96983874202517,104472000
2020-01-24,77.06427764892578,78.27963949778808,76.87301303795586,77.53396093858308,146537600
2020-01-27,74.79817199707031,75.48090092368226,73.81280512269632,75.06690438729518,161940000
2020-01-28,76.91416931152344,77.08606141566885,75.5825947326495,75.68185845150586,162234000
2020-01-29,78.52413177490234,79.37392049192506,77.80750489664032,78.55076709803015,216229200
2020-01-30,78.41034698486328,78.46361024577816,77.17077370005123,77.60414262347498,126743200
2020-01-31,74.93374633789062,78.12225762194025,74.63837863048332,77.69857485901245,199588400
2020-02-03,74.72795104980469,75.89731214570682,73.16879799630816,73.67237193822604,173788400
2020-02-04,77.19499969482422,77.38626426505087,75.93121426303615,76.33794793595989,136616400
2020-02-05,77.82447814941406,78.62584328517734,77.21921702642419,78.32562874403418,118826800
2020-02-06,78.73479461669922,78.73721802576215,77.53638189287197,78.0956426416798,105425600
2020-02-07,77.66455841064453,78.48238543817546,77.17192034743294,78.23242636976711,117684000
2020-02-10,78.0334243774414,78.0334243774414,76.16480064339702,76.24488144952362,109348800
2020-02-11,77.5626449584961,78.60374012100387,77.34423530217373,78.53093937088862,94323200
2020-02-12,79.40457153320312,79.409422447038,78.01401820106558,78.01401820106558,113730400
2020-02-13,78.8391342163086,79.16675238353734,78.47026476188894,78.67411425559266,94747600
2020-02-14,78.85855102539062,79.10851012138082,78.34892359887368,78.80758309855572,80113600
2020-02-18,77.41461181640625,77.59662109183667,76.34924730268484,76.53125657811528,152531200
2020-02-19,78.53578186035156,78.76632988761132,77.65728500864738,77.65728500864738,93984000
2020-02-20,77.7300796508789,78.78573476731503,77.222881436687,78.29552586031969,100566000
2020-02-21,75.97067260742188,77.76650347779221,75.3518440007245,77.32239667498202,129554000
2020-02-24,72.3620376586914,73.8181119648714,70.19006459555902,72.13877707909086,222195200
2020-02-25,69.91097259521484,73.41768758581995,69.4377529242665,73.03425797216033,230673600
2020-02-26,71.02001953125,72.28923357582319,69.5275449173606,69.53482499231708,198054800
2020-02-27,66.37755584716797,69.4061923618355,66.24165620285358,68.21706677109698,320605600
2020-02-28,66.3387222290039,67.5642555180985,62.21560874045817,62.43159658691093,426510000
2020-03-02,72.51490020751953,73.15314706398571,67.39680177602645,68.50341725278311,341397200
2020-03-03,70.21188354492188,73.77440915704527,69.3576488043323,73.69432835310232,319475600
2020-03-04,73.46864318847656,73.6288122283086,71.13650139150472,71.93976834476976,219178400
2020-03-05,71.0855484008789,72.69450423193115,70.7191006767236,71.71650798671432,187572800
2020-03-06,70.14152526855469,70.57592284013839,68.24863164787311,68.43549184953756,226176800
2020-03-09,64.5938720703125,67.48660157527603,63.82457638904733,64.00658563730508,286744800
2020-03-10,69.24602508544922,69.51297346708441,65.37044115282052,67.25606172575357,285290000
2020-03-11,66.84107971191406,68.24619329059158,65.9747138459021,67.31673591637701,255598800
2020-03-12,60.24021530151367,65.52333888472222,60.18440016078189,62.111272274536645,418474000
2020-03-13,67.45750427246094,67.93073144161406,61.38567264424702,64.28326515957993,370732000
2020-03-16,58.7792854309082,62.873275496652674,58.242963182289955,58.716186517548486,322423600
2020-03-17,61.36381912231445,62.5165408014644,57.854678750743666,60.06548484229005,324056000
2020-03-18,59.86164093017578,60.66976261253334,57.54405525777932,58.18715696326524,300233600
2020-03-19,59.402976989746094,61.358969521399985,58.87636390068454,60.03636945225578,271857200
2020-03-20,55.631736755371094,61.11385462075303,55.330813454385684,59.98539501929856,401693200
2020-03-23,54.44989013671875,55.45215566699075,51.59598621533572,55.35023092369006,336752800
2020-03-24,59.91259765625,60.10916707001685,56.85969513959366,57.359613328429845,287531200
2020-03-25,59.58255386352539,62.67185674280047,59.286485163699844,60.85176409780143,303602000
2020-03-26,62.717979431152344,62.77622003802829,59.786415821760485,59.82524536167027,252087200
2020-03-27,60.121299743652344,62.094277592448684,59.9538506329564,61.337120260245676,204216800
2020-03-30,61.8370475769043,62.0093513301557,60.52415303960045,60.84934577792082,167976400
2020-03-31,61.71084213256836,63.70080921944118,61.155108844211355,62.028754737466606,197002000
2020-04-01,58.46380615234375,60.35912878890937,58.031837774101646,59.82038104472191,176218400
2020-04-02,59.43936538696289,59.49275506292741,57.49065332322106,58.32546967140694,165934000
2020-04-03,58.585147857666016,59.62623930857482,57.99301040837071,58.92247157470053,129880000
2020-04-06,63.695953369140625,63.85126406814097,60.519286350194704,60.888155740548534,201820400
2020-04-07,62.95821762084961,65.93589399470639,62.853867417629125,65.71747694762487,202887200
2020-04-08,64.56961059570312,64.88509036892265,63.395044991841544,63.76148528714011,168895200
2020-04-09,65.03553771972656,65.54031414733082,64.2371292048889,65.20784512846275,161834800
2020-04-13,66.31204986572266,66.42125839971293,64.51136807094039,65.11321477612952,131022800
2020-04-14,69.6610107421875,69.95222853281514,67.47689953040836,67.95012658868427,194994800
2020-04-15,69.02519989013672,69.4862886004415,68.10302246952716,68.53256171861511,131154400
2020-04-16,69.57365417480469,69.94010189303526,68.52042803590564,69.74110330393147,157125200
2020-04-17,68.62962341308594,69.63674726381512,67.1881094519009,69.08829031254295,215250000
2020-04-20,67.2051010131836,68.35782638874939,67.18568994969831,67.45263835997193,130015200
2020-04-21,65.12776947021484,67.28276042085989,64.41429253639382,67.0473614677832,180991600
2020-04-22,67.00367736816406,67.4404966317663,66.05723069304202,66.39940158614417,116862400
2020-04-23,66.74400329589844,68.37480642869768,66.7051737682157,66.94785276175145,124814400
2020-04-24,68.67089080810547,68.6806000437413,67.22209658899173,67.27063536119402,126161200
2020-04-27,68.71943664550781,69.05190579194252,67.93800973096258,68.38696009309551,117087600
2020-04-28,67.60553741455078,69.36496081135085,67.51332558167111,69.1829514944405,112004800
2020-04-29,69.8260269165039,70.29682473918272,68.89414050420481,69.0979899625851,137280800
2020-04-30,71.29908752441406,71.47624586127782,69.97649141267905,70.36720104938254,183064000
2020-05-01,70.1512451171875,72.56104666200604,69.36981816458832,69.46688831772317,240616800
2020-05-04,71.143798828125,71.27241844220069,69.48387483655323,70.17551168453589,133568000
2020-05-05,72.2115707397461,73.04638718577591,71.45926427424553,71.60487317175793,147751200
2020-05-06,72.95660400390625,73.58999276968885,72.5294865058915,72.91534530676655,142333600
2020-05-07,73.71133422851562,74.05837090774547,73.28179496479571,73.58514378532654,115215200
2020-05-08,75.46578979492188,75.51932400836401,74.04470854157813,74.37321360469922,133838400
2020-05-11,76.65325927734375,77.14965926401848,74.7625342106639,74.97180698726206,145946400
2020-05-12,75.77725219726562,77.79207364909227,75.65558421726155,77.33946490194451,162301200
2020-05-13,74.8623275756836,76.88202106495895,73.78191501660768,75.95733970236651,200622400
2020-05-14,75.32220458984375,75.38303857132479,73.373081446864,74.09822517948626,158929200
2020-05-15,74.87689971923828,74.92313414173562,73.05188017652294,73.08595077247826,166348400
2020-05-18,76.64108276367188,77.0158221767727,75.51200790514008,76.20551679383226,135178400
2020-05-19,76.19820404052734,77.50734488883182,76.16656918671303,76.65810501038028,101729600
2020-05-20,77.68013000488281,77.75069207639052,77.02068430144911,77.05961894056877,111504800
2020-05-21,77.10099792480469,78.08407725078851,76.86252601832638,77.54143540411926,102688800
2020-05-22,77.597412109375,77.68014544919457,76.73600068439247,76.83819763463005,81803200
2020-05-26,77.07178497314453,78.89923259629772,77.01581504082098,78.71916640033362,125522000
2020-05-27,77.4075927734375,77.55359582351838,76.1860490206754,76.92822809774341,112945200
2020-05-28,77.44168090820312,78.7045953244802,76.80414178535541,77.08154095991135,133560800
2020-05-29,77.3662338256836,78.14734015890691,77.00852967618476,77.68500333141107,153532400
2020-06-01,78.31768798828125,78.43935598036309,77.18860545726987,77.32000896800524,80791200
2020-06-02,78.68025207519531,78.70458715753213,77.60713955055513,78.05001280060178,87642800
2020-06-03,79.1133804321289,79.37618740858451,78.42717129207927,79.00144797787304,104491200
2020-06-04,78.43203735351562,79.23504293791275,78.05729794865285,78.9357445019579,87560400
2020-06-05,80.66586303710938,80.72669702130025,78.65347751344345,78.68267663769132,137250400
2020-06-08,81.1427993774414,81.17686997307266,79.64872058754821,80.36169309987528,95654400
2020-06-09,83.70512390136719,84.09932691847067,80.78996422247816,80.82159908143493,147712400
2020-06-10,85.85865020751953,86.32828677869298,84.2161326502249,84.65657009743241,166651600
